DATETIME,TIME,LON,LAT,DEP,EASTWARD_WIND
"31-DEC-2022",1.07819E+06,70.875,4.875,10,-7.46  
"31-DEC-2022",1.07819E+06,71.125,4.875,10,-7.68  
"31-DEC-2022",1.07819E+06,71.375,4.875,10,-7.39  
"31-DEC-2022",1.07819E+06,71.625,4.875,10,-7.25  
"31-DEC-2022",1.07819E+06,71.875,4.875,10,-6.22  
"31-DEC-2022",1.07819E+06,72.125,4.875,10,-5.43  
"31-DEC-2022",1.07819E+06,72.375,4.875,10,-5.56  
"31-DEC-2022",1.07819E+06,72.625,4.875,10,-5.71  
"31-DEC-2022",1.07819E+06,72.875,4.875,10,-5.97  
"31-DEC-2022",1.07819E+06,73.125,4.875,10,-6.2  
"31-DEC-2022",1.07819E+06,73.375,4.875,10,-6.36  
"31-DEC-2022",1.07819E+06,73.625,4.875,10,-6.43  
"31-DEC-2022",1.07819E+06,73.875,4.875,10,-6.44  
"31-DEC-2022",1.07819E+06,74.125,4.875,10,-6.09  
"31-DEC-2022",1.07819E+06,74.375,4.875,10,-5.84  
"31-DEC-2022",1.07819E+06,74.625,4.875,10,-5.73  
"31-DEC-2022",1.07819E+06,74.875,4.875,10,-5.45  
"31-DEC-2022",1.07819E+06,75.125,4.875,10,-5.03  
"31-DEC-2022",1.07819E+06,75.375,4.875,10,-4.87  
"31-DEC-2022",1.07819E+06,75.625,4.875,10,-4.78  
"31-DEC-2022",1.07819E+06,75.875,4.875,10,-4.71  
"31-DEC-2022",1.07819E+06,76.125,4.875,10,-4.85  
"31-DEC-2022",1.07819E+06,76.375,4.875,10,-5.09  
"31-DEC-2022",1.07819E+06,76.625,4.875,10,-4.98  
"31-DEC-2022",1.07819E+06,76.875,4.875,10,-4.57  
"31-DEC-2022",1.07819E+06,77.125,4.875,10,-4.32  
"31-DEC-2022",1.07819E+06,77.375,4.875,10,-3.75  
"31-DEC-2022",1.07819E+06,77.625,4.875,10,-3.2  
"31-DEC-2022",1.07819E+06,77.875,4.875,10,-3.18  
"31-DEC-2022",1.07819E+06,78.125,4.875,10,-2.27  
"31-DEC-2022",1.07819E+06,78.375,4.875,10,-2.26  
"31-DEC-2022",1.07819E+06,78.625,4.875,10,-2.63  
"31-DEC-2022",1.07819E+06,78.875,4.875,10,-3.16  
"31-DEC-2022",1.07819E+06,79.125,4.875,10,-3.72  
"31-DEC-2022",1.07819E+06,79.375,4.875,10,-4.31  
"31-DEC-2022",1.07819E+06,79.625,4.875,10,-4.22  
"31-DEC-2022",1.07819E+06,79.875,4.875,10,-5.19  
"31-DEC-2022",1.07819E+06,80.125,4.875,10,-5.26  
"31-DEC-2022",1.07819E+06,80.375,4.875,10,-4.4  
"31-DEC-2022",1.07819E+06,80.625,4.875,10,-3.88  
"31-DEC-2022",1.07819E+06,80.875,4.875,10,-3.25  
"31-DEC-2022",1.07819E+06,81.125,4.875,10,-2.65  
"31-DEC-2022",1.07819E+06,81.375,4.875,10,-1.74  
"31-DEC-2022",1.07819E+06,81.625,4.875,10,-1.39  
"31-DEC-2022",1.07819E+06,81.875,4.875,10,-1.44  
"31-DEC-2022",1.07819E+06,82.125,4.875,10,-1.07  
"31-DEC-2022",1.07819E+06,82.375,4.875,10,-0.33  
"31-DEC-2022",1.07819E+06,82.625,4.875,10,-0.95  
"31-DEC-2022",1.07819E+06,82.875,4.875,10,-1.58  
"31-DEC-2022",1.07819E+06,83.125,4.875,10,-2.39  
"31-DEC-2022",1.07819E+06,83.375,4.875,10,-2.19  
"31-DEC-2022",1.07819E+06,83.625,4.875,10,-2.14  
"31-DEC-2022",1.07819E+06,83.875,4.875,10,-2.32  
"31-DEC-2022",1.07819E+06,84.125,4.875,10,-2.11  
"31-DEC-2022",1.07819E+06,84.375,4.875,10,-2.22  
"31-DEC-2022",1.07819E+06,84.625,4.875,10,-2.23  
"31-DEC-2022",1.07819E+06,84.875,4.875,10,-2.47  
