DATETIME,TIME,LON,LAT,ZON,MER
31-DEC-2022,44559.5,71.0,6.25,-0.302751,0.160892
31-DEC-2022,44559.5,71.5,6.25,-0.333033,0.0442552
31-DEC-2022,44559.5,72.0,6.25,-0.36951,0.0141726
31-DEC-2022,44559.5,72.5,6.25,-0.359683,0.0724541
31-DEC-2022,44559.5,73.0,6.25,-0.368489,0.133135
31-DEC-2022,44559.5,73.5,6.25,-0.367254,0.15627
31-DEC-2022,44559.5,74.0,6.25,-0.417651,0.133499
31-DEC-2022,44559.5,74.5,6.25,-0.564172,0.0697134
31-DEC-2022,44559.5,75.0,6.25,-0.711468,0.00408201
31-DEC-2022,44559.5,75.5,6.25,-0.716628,-0.0637641
31-DEC-2022,44559.5,76.0,6.25,-0.574516,-0.111329
31-DEC-2022,44559.5,76.5,6.25,-0.436507,0.0177554
31-DEC-2022,44559.5,77.0,6.25,-0.340348,0.108131
31-DEC-2022,44559.5,77.5,6.25,-0.180024,0.168882
31-DEC-2022,44559.5,78.0,6.25,0.0280254,0.210237
31-DEC-2022,44559.5,78.5,6.25,0.134484,0.16608
31-DEC-2022,44559.5,79.0,6.25,0.164401,0.0404623
31-DEC-2022,44559.5,79.5,6.25,0.0791035,0.0358342
31-DEC-2022,44559.5,80.0,6.25,-1e+34,-1e+34
